,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0130110001,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,69.4505959,-54.2927647,27.950,CONTROL,0130110001_01,Y,03-24-2016,2,13,11,31.000000,31.000000,606024.331,7706952.936,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,21,ABS,08-04-2001,BYTE
1,0130110002,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,69.9142705,-52.6831003,41.783,CONTROL,0130110002_01,Y,03-24-2016,2,13,11,31.000000,31.000000,665338.567,7762166.092,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,21,ABS,08-04-2001,BYTE
2,0130110003,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,69.9472809,-53.7527622,532.888,CONTROL,0130110003_01,Y,03-24-2016,2,13,11,31.000000,31.000000,624213.344,7763301.661,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,21,ABS,08-04-2001,BYTE
3,0130110004,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,69.4402922,-53.6817817,26.070,CONTROL,0130110004_01,Y,03-24-2016,2,13,11,31.000000,31.000000,629996.438,7706983.737,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,21,ABS,08-04-2001,BYTE
4,0130110005,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,69.5154478,-53.7809615,25.965,CONTROL,0130110005_01,Y,03-24-2016,2,13,11,31.000000,31.000000,625673.136,7715146.812,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,21,ABS,08-04-2001,BYTE
5,0130110006,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,70.0762098,-54.7943986,42.241,CONTROL,0130110006_01,Y,03-24-2016,2,13,11,31.000000,31.000000,583867.190,7775889.740,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,21,ABS,08-04-2001,BYTE
6,0130110007,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,69.4283734,-54.2203772,35.978,CONTROL,0130110007_01,Y,03-24-2016,2,13,11,31.000000,31.000000,608970.161,7704604.225,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,21,ABS,08-04-2001,BYTE
7,0130110008,N,03-24-2016,ORIGINAL,1,13,11,GLS,69.3903760,-53.7987190,343.075,CONTROL,0130110008_01,Y,11-27-2007,1,13,11,31.000000,31.000000,625710.000,7701180.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,21,ABS,08-04-2001,BYTE
8,0130110009,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,69.4545039,-53.7944864,26.021,CONTROL,0130110009_01,Y,03-24-2016,2,13,11,31.000000,31.000000,625501.581,7708331.195,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,21,ABS,08-04-2001,BYTE
9,0130110010,Y,03-24-2016,TRIG_ERROR,2,13,11,GLS,69.5245428,-53.7238607,98.033,CONTROL,0130110010_01,Y,03-24-2016,2,13,11,31.000000,31.000000,627846.247,7716278.152,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,21,ABS,08-04-2001,BYTE
