,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0130220001,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.4546330,-69.0896150,502.000,VALIDATION,0130220001_01,Y,11-27-2007,1,13,22,31.000000,31.000000,494190.000,6034110.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,19,ABS,07-06-2002,BYTE
1,0130220002,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.5792250,-69.0286220,502.000,VALIDATION,0130220002_01,Y,11-27-2007,1,13,22,31.000000,31.000000,498150.000,6047970.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,19,ABS,07-06-2002,BYTE
2,0130220003,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.5061790,-69.2477160,502.000,VALIDATION,0130220003_01,Y,11-27-2007,1,13,22,31.000000,31.000000,483960.000,6039870.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,19,ABS,07-06-2002,BYTE
3,0130220004,Y,11-27-2007,ORIGINAL,1,13,22,GLS,53.9504220,-67.8862670,629.178,CONTROL,0130220004_01,Y,11-27-2007,1,13,22,31.000000,31.000000,573090.000,5978580.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,19,ABS,07-06-2002,BYTE
4,0130220005,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.3465400,-69.0478430,502.000,VALIDATION,0130220005_01,Y,11-27-2007,1,13,22,31.000000,31.000000,496890.000,6022080.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,19,ABS,07-06-2002,BYTE
5,0130220006,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.0863440,-69.4451670,505.000,VALIDATION,0130220006_01,Y,11-27-2007,1,13,22,31.000000,31.000000,470880.000,5993220.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,19,ABS,07-06-2002,BYTE
6,0130220007,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.4207650,-68.6632590,503.000,VALIDATION,0130220007_01,Y,11-27-2007,1,13,22,31.000000,31.000000,521850.000,6030390.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,19,ABS,07-06-2002,BYTE
7,0130220008,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.3818620,-69.0437270,502.000,CONTROL,0130220008_01,Y,11-27-2007,1,13,22,31.000000,31.000000,497160.000,6026010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,19,ABS,07-06-2002,BYTE
8,0130220009,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.4579610,-68.7744800,502.000,CONTROL,0130220009_01,Y,11-27-2007,1,13,22,31.000000,31.000000,514620.000,6034500.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,19,ABS,07-06-2002,BYTE
9,0130220010,Y,11-27-2007,ORIGINAL,1,13,22,GLS,54.5033550,-69.1647720,506.382,VALIDATION,0130220010_01,Y,11-27-2007,1,13,22,31.000000,31.000000,489330.000,6039540.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,19,ABS,07-06-2002,BYTE
