,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0150130001,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.8648170,-63.5581160,92.291,VALIDATION,0150130001_01,Y,11-27-2007,1,15,13,31.000000,31.000000,475530.000,7416420.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,20,ABS,09-14-1999,BYTE
1,0150130002,Y,11-27-2007,ORIGINAL,1,15,13,GLS,67.0646410,-63.6634330,96.624,CONTROL,0150130002_01,Y,11-27-2007,1,15,13,31.000000,31.000000,471150.000,7438740.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,20,ABS,09-14-1999,BYTE
2,0150130003,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.4752430,-61.3790760,65.835,CONTROL,0150130003_01,Y,11-27-2007,1,15,13,31.000000,31.000000,572190.000,7373820.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,20,ABS,09-14-1999,BYTE
3,0150130004,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.3127830,-62.0916540,54.079,CONTROL,0150130004_01,Y,11-27-2007,1,15,13,31.000000,31.000000,540720.000,7355070.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,20,ABS,09-14-1999,BYTE
4,0150130005,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.6488580,-62.9027820,10.630,VALIDATION,0150130005_01,Y,11-27-2007,1,15,13,31.000000,31.000000,504300.000,7392240.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,20,ABS,09-14-1999,BYTE
5,0150130006,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.9934150,-63.9160130,602.043,VALIDATION,0150130006_01,Y,11-27-2007,1,15,13,31.000000,31.000000,460050.000,7430940.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,20,ABS,09-14-1999,BYTE
6,0150130007,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.2706870,-61.7985150,92.470,VALIDATION,0150130007_01,Y,11-27-2007,1,15,13,31.000000,31.000000,553950.000,7350600.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,20,ABS,09-14-1999,BYTE
7,0150130008,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.2734010,-61.7335650,13.000,CONTROL,0150130008_01,Y,11-27-2007,1,15,13,31.000000,31.000000,556860.000,7350960.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,20,ABS,09-14-1999,BYTE
8,0150130009,Y,11-27-2007,ORIGINAL,1,15,13,GLS,67.2707960,-63.4221100,98.654,CONTROL,0150130009_01,Y,11-27-2007,1,15,13,31.000000,31.000000,481800.000,7461630.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,20,ABS,09-14-1999,BYTE
9,0150130010,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.3300660,-61.6228770,81.287,CONTROL,0150130010_01,Y,11-27-2007,1,15,13,31.000000,31.000000,561690.000,7357380.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,20,ABS,09-14-1999,BYTE
10,0150130011,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.4632570,-61.4997180,51.923,CONTROL,0150130011_01,Y,11-27-2007,1,15,13,31.000000,31.000000,566850.000,7372350.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,20,ABS,09-14-1999,BYTE
11,0150130012,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.9403490,-63.8261610,465.566,CONTROL,0150130012_01,Y,11-27-2007,1,15,13,31.000000,31.000000,463890.000,7424970.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,20,ABS,09-14-1999,BYTE
12,0150130013,Y,11-27-2007,ORIGINAL,1,15,13,GLS,67.0941530,-63.5454340,9.000,CONTROL,0150130013_01,Y,11-27-2007,1,15,13,31.000000,31.000000,476310.000,7441980.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,20,ABS,09-14-1999,BYTE
13,0150130014,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.1940470,-62.1325540,11.000,CONTROL,0150130014_01,Y,11-27-2007,1,15,13,31.000000,31.000000,539070.000,7341810.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,20,ABS,09-14-1999,BYTE
14,0150130015,Y,11-27-2007,ORIGINAL,1,15,13,GLS,66.6688130,-63.4077420,318.379,VALIDATION,0150130015_01,Y,11-27-2007,1,15,13,31.000000,31.000000,481980.000,7394520.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,20,ABS,09-14-1999,BYTE
