,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0190170001,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.9801090,-73.5335350,345.000,CONTROL,0190170001_01,Y,11-27-2007,1,19,17,31.000000,31.000000,579360.000,6761460.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,18,ABS,08-17-2002,BYTE
1,0190170002,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.3179220,-73.9755880,465.145,CONTROL,0190170002_01,Y,11-27-2007,1,19,17,31.000000,31.000000,554850.000,6798630.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,18,ABS,08-17-2002,BYTE
2,0190170003,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.6216830,-74.4957120,466.000,CONTROL,0190170003_01,Y,11-27-2007,1,19,17,31.000000,31.000000,526740.000,6832140.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,18,ABS,08-17-2002,BYTE
3,0190170004,Y,11-27-2007,ORIGINAL,1,19,17,GLS,62.0516960,-72.8571850,68.000,CONTROL,0190170004_01,Y,11-27-2007,1,19,17,31.000000,31.000000,612030.000,6881790.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,18,ABS,08-17-2002,BYTE
4,0190170005,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.3032700,-72.1537160,393.194,CONTROL,0190170005_01,Y,11-27-2007,1,19,17,31.000000,31.000000,652440.000,6799890.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,18,ABS,08-17-2002,BYTE
5,0190170006,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.2525560,-72.4206910,425.047,VALIDATION,0190170006_01,Y,11-27-2007,1,19,17,31.000000,31.000000,638370.000,6793650.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,18,ABS,08-17-2002,BYTE
6,0190170007,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.3346520,-74.0540900,468.000,CONTROL,0190170007_01,Y,11-27-2007,1,19,17,31.000000,31.000000,550620.000,6800430.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,18,ABS,08-17-2002,BYTE
7,0190170008,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.3531150,-72.4517010,386.030,VALIDATION,0190170008_01,Y,11-27-2007,1,19,17,31.000000,31.000000,636270.000,6804780.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,18,ABS,08-17-2002,BYTE
8,0190170009,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.0034280,-74.7268860,350.886,VALIDATION,0190170009_01,Y,11-27-2007,1,19,17,31.000000,31.000000,514770.000,6763200.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,18,ABS,08-17-2002,BYTE
9,0190170010,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.1871100,-71.5935160,102.000,VALIDATION,0190170010_01,Y,11-27-2007,1,19,17,31.000000,31.000000,683100.000,6788400.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,18,ABS,08-17-2002,BYTE
10,0190170011,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.9203840,-71.5262470,356.000,CONTROL,0190170011_01,Y,11-27-2007,1,19,17,31.000000,31.000000,688290.000,6758910.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,18,ABS,08-17-2002,BYTE
11,0190170012,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.2388350,-71.8715150,444.015,VALIDATION,0190170012_01,Y,11-27-2007,1,19,17,31.000000,31.000000,667890.000,6793410.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,18,ABS,08-17-2002,BYTE
12,0190170013,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.2784240,-74.1889700,455.755,VALIDATION,0190170013_01,Y,11-27-2007,1,19,17,31.000000,31.000000,543480.000,6794070.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,18,ABS,08-17-2002,BYTE
13,0190170014,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.7183150,-74.2012750,349.574,CONTROL,0190170014_01,Y,11-27-2007,1,19,17,31.000000,31.000000,542220.000,6843060.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,18,ABS,08-17-2002,BYTE
14,0190170015,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.2243820,-74.0015350,444.483,CONTROL,0190170015_01,Y,11-27-2007,1,19,17,31.000000,31.000000,553620.000,6788190.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,18,ABS,08-17-2002,BYTE
15,0190170016,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.2551740,-74.3763380,374.000,CONTROL,0190170016_01,Y,11-27-2007,1,19,17,31.000000,31.000000,533460.000,6791370.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,16,UTM,18,ABS,08-17-2002,BYTE
16,0190170017,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.9984030,-73.9670350,344.000,CONTROL,0190170017_01,Y,11-27-2007,1,19,17,31.000000,31.000000,555870.000,6763050.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,17,UTM,18,ABS,08-17-2002,BYTE
17,0190170018,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.9383740,-74.1245530,353.000,CONTROL,0190170018_01,Y,11-27-2007,1,19,17,31.000000,31.000000,547440.000,6756240.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,18,UTM,18,ABS,08-17-2002,BYTE
18,0190170019,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.0354970,-71.4947510,303.896,CONTROL,0190170019_01,Y,11-27-2007,1,19,17,31.000000,31.000000,689310.000,6771810.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,19,UTM,18,ABS,08-17-2002,BYTE
19,0190170020,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.9757840,-74.6522980,354.000,VALIDATION,0190170020_01,Y,11-27-2007,1,19,17,31.000000,31.000000,518820.000,6760140.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,20,UTM,18,ABS,08-17-2002,BYTE
20,0190170021,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.4590830,-73.2397400,489.000,CONTROL,0190170021_01,Y,11-27-2007,1,19,17,31.000000,31.000000,593820.000,6815190.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,21,UTM,18,ABS,08-17-2002,BYTE
21,0190170022,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.3853010,-73.4887540,446.000,CONTROL,0190170022_01,Y,11-27-2007,1,19,17,31.000000,31.000000,580740.000,6806640.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,22,UTM,18,ABS,08-17-2002,BYTE
22,0190170023,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.1310970,-74.0262040,395.012,CONTROL,0190170023_01,Y,11-27-2007,1,19,17,31.000000,31.000000,552450.000,6777780.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,23,UTM,18,ABS,08-17-2002,BYTE
23,0190170024,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.8413020,-74.2322690,1.000,CONTROL,0190170024_01,Y,11-27-2007,1,19,17,31.000000,31.000000,540420.000,6856740.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,24,UTM,18,ABS,08-17-2002,BYTE
24,0190170025,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.1664380,-71.9233360,462.179,CONTROL,0190170025_01,Y,11-27-2007,1,19,17,31.000000,31.000000,665490.000,6785220.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,25,UTM,18,ABS,08-17-2002,BYTE
25,0190170026,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.6846790,-74.2543040,465.000,VALIDATION,0190170026_01,Y,11-27-2007,1,19,17,31.000000,31.000000,539460.000,6839280.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,26,UTM,18,ABS,08-17-2002,BYTE
26,0190170027,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.3650020,-71.9796480,281.020,VALIDATION,0190170027_01,Y,11-27-2007,1,19,17,31.000000,31.000000,661440.000,6807180.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,27,UTM,18,ABS,08-17-2002,BYTE
27,0190170028,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.6769350,-74.3752180,476.000,CONTROL,0190170028_01,Y,11-27-2007,1,19,17,31.000000,31.000000,533070.000,6838350.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,28,UTM,18,ABS,08-17-2002,BYTE
28,0190170029,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.7503710,-73.2464270,602.159,CONTROL,0190170029_01,Y,11-27-2007,1,19,17,31.000000,31.000000,592590.000,6847620.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,29,UTM,18,ABS,08-17-2002,BYTE
29,0190170030,Y,11-27-2007,ORIGINAL,1,19,17,GLS,62.1916210,-74.0112700,160.870,VALIDATION,0190170030_01,Y,11-27-2007,1,19,17,31.000000,31.000000,551460.000,6895920.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,30,UTM,18,ABS,08-17-2002,BYTE
30,0190170031,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.8782630,-74.5544500,286.000,CONTROL,0190170031_01,Y,11-27-2007,1,19,17,31.000000,31.000000,524190.000,6749310.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,31,UTM,18,ABS,08-17-2002,BYTE
31,0190170032,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.3061290,-73.9137990,465.000,VALIDATION,0190170032_01,Y,11-27-2007,1,19,17,31.000000,31.000000,558180.000,6797370.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,32,UTM,18,ABS,08-17-2002,BYTE
32,0190170033,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.2684460,-74.5282360,370.000,VALIDATION,0190170033_01,Y,11-27-2007,1,19,17,31.000000,31.000000,525300.000,6792780.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,33,UTM,18,ABS,08-17-2002,BYTE
33,0190170034,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.2848500,-71.9509520,409.038,VALIDATION,0190170034_01,Y,11-27-2007,1,19,17,31.000000,31.000000,663390.000,6798330.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,34,UTM,18,ABS,08-17-2002,BYTE
34,0190170035,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.4197870,-72.8146150,464.256,VALIDATION,0190170035_01,Y,11-27-2007,1,19,17,31.000000,31.000000,616620.000,6811500.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,35,UTM,18,ABS,08-17-2002,BYTE
35,0190170036,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.0951680,-74.0117300,393.403,VALIDATION,0190170036_01,Y,11-27-2007,1,19,17,31.000000,31.000000,553290.000,6773790.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,36,UTM,18,ABS,08-17-2002,BYTE
36,0190170037,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.3795380,-73.8983400,465.453,CONTROL,0190170037_01,Y,11-27-2007,1,19,17,31.000000,31.000000,558870.000,6805560.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,37,UTM,18,ABS,08-17-2002,BYTE
37,0190170038,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.9723620,-74.5852770,354.000,VALIDATION,0190170038_01,Y,11-27-2007,1,19,17,31.000000,31.000000,522450.000,6759780.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,38,UTM,18,ABS,08-17-2002,BYTE
38,0190170039,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.2531750,-72.2466500,385.106,VALIDATION,0190170039_01,Y,11-27-2007,1,19,17,31.000000,31.000000,647700.000,6794100.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,39,UTM,18,ABS,08-17-2002,BYTE
39,0190170040,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.1897060,-74.1287510,426.852,CONTROL,0190170040_01,Y,11-27-2007,1,19,17,31.000000,31.000000,546840.000,6784230.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,40,UTM,18,ABS,08-17-2002,BYTE
40,0190170041,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.1850030,-72.3553210,471.774,VALIDATION,0190170041_01,Y,11-27-2007,1,19,17,31.000000,31.000000,642180.000,6786270.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,41,UTM,18,ABS,08-17-2002,BYTE
41,0190170042,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.7979060,-71.9797430,400.000,CONTROL,0190170042_01,Y,11-27-2007,1,19,17,31.000000,31.000000,664350.000,6744060.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,42,UTM,18,ABS,08-17-2002,BYTE
42,0190170043,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.0353900,-72.4083540,320.000,CONTROL,0190170043_01,Y,11-27-2007,1,19,17,31.000000,31.000000,639990.000,6769500.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,43,UTM,18,ABS,08-17-2002,BYTE
43,0190170044,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.6125880,-72.0613860,36.207,CONTROL,0190170044_01,Y,11-27-2007,1,19,17,31.000000,31.000000,655830.000,6834540.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,44,UTM,18,ABS,08-17-2002,BYTE
44,0190170045,Y,11-27-2007,ORIGINAL,1,19,17,GLS,60.9964900,-74.5500220,352.000,CONTROL,0190170045_01,Y,11-27-2007,1,19,17,31.000000,31.000000,524340.000,6762480.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,45,UTM,18,ABS,08-17-2002,BYTE
45,0190170046,Y,11-27-2007,ORIGINAL,1,19,17,GLS,61.4136500,-72.9752720,467.326,CONTROL,0190170046_01,Y,11-27-2007,1,19,17,31.000000,31.000000,608070.000,6810540.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,46,UTM,18,ABS,08-17-2002,BYTE
