,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0140220001,Y,11-27-2007,ORIGINAL,1,14,22,GLS,54.2712210,-70.2330870,500.000,VALIDATION,0140220001_01,Y,11-27-2007,1,14,22,31.000000,31.000000,419700.000,6014400.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,19,ABS,05-23-2001,BYTE
1,0140220002,Y,11-27-2007,ORIGINAL,1,14,22,GLS,53.9926880,-69.5338560,501.000,CONTROL,0140220002_01,Y,11-27-2007,1,14,22,31.000000,31.000000,465000.000,5982840.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,19,ABS,05-23-2001,BYTE
2,0140220003,Y,11-27-2007,ORIGINAL,1,14,22,GLS,53.9298200,-69.5997620,501.000,VALIDATION,0140220003_01,Y,11-27-2007,1,14,22,31.000000,31.000000,460620.000,5975880.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,19,ABS,05-23-2001,BYTE
3,0140220004,Y,11-27-2007,ORIGINAL,1,14,22,GLS,54.4161790,-70.5259310,502.736,CONTROL,0140220004_01,Y,11-27-2007,1,14,22,31.000000,31.000000,400980.000,6030900.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,19,ABS,05-23-2001,BYTE
4,0140220005,Y,11-27-2007,ORIGINAL,1,14,22,GLS,54.2362060,-70.3061530,500.000,CONTROL,0140220005_01,Y,11-27-2007,1,14,22,31.000000,31.000000,414870.000,6010590.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,19,ABS,05-23-2001,BYTE
5,0140220006,Y,11-27-2007,ORIGINAL,1,14,22,GLS,53.9793360,-69.5643340,501.636,VALIDATION,0140220006_01,Y,11-27-2007,1,14,22,31.000000,31.000000,462990.000,5981370.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,19,ABS,05-23-2001,BYTE
6,0140220007,Y,11-27-2007,ORIGINAL,1,14,22,GLS,54.2458470,-70.3368460,505.800,VALIDATION,0140220007_01,Y,11-27-2007,1,14,22,31.000000,31.000000,412890.000,6011700.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,19,ABS,05-23-2001,BYTE
7,0140220008,Y,11-27-2007,ORIGINAL,1,14,22,GLS,54.4246350,-70.4966490,499.000,VALIDATION,0140220008_01,Y,11-27-2007,1,14,22,31.000000,31.000000,402900.000,6031800.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,19,ABS,05-23-2001,BYTE
8,0140220009,Y,11-27-2007,ORIGINAL,1,14,22,GLS,54.1477450,-70.2041510,503.000,VALIDATION,0140220009_01,Y,11-27-2007,1,14,22,31.000000,31.000000,421350.000,6000630.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,19,ABS,05-23-2001,BYTE
9,0140220010,Y,11-27-2007,ORIGINAL,1,14,22,GLS,53.9593260,-69.7254670,501.000,CONTROL,0140220010_01,Y,11-27-2007,1,14,22,31.000000,31.000000,452400.000,5979240.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,19,ABS,05-23-2001,BYTE
