,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0130190001,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.0246420,-65.5319470,-6.773,VALIDATION,0130190001_01,Y,11-27-2007,1,13,19,31.000000,31.000000,354660.000,6545550.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,20,ABS,08-07-2002,BYTE
1,0130190002,Y,11-27-2007,ORIGINAL,1,13,19,GLS,57.9578320,-65.1129630,486.000,VALIDATION,0130190002_01,Y,11-27-2007,1,13,19,31.000000,31.000000,374970.000,6425970.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,20,ABS,08-07-2002,BYTE
2,0130190003,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.0500350,-65.3276930,1.133,VALIDATION,0130190003_01,Y,11-27-2007,1,13,19,31.000000,31.000000,366480.000,6547950.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,20,ABS,08-07-2002,BYTE
3,0130190004,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.2514440,-65.3400410,376.000,CONTROL,0130190004_01,Y,11-27-2007,1,13,19,31.000000,31.000000,362670.000,6459090.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,20,ABS,08-07-2002,BYTE
4,0130190005,Y,11-27-2007,ORIGINAL,1,13,19,GLS,57.9236440,-65.5375450,76.076,CONTROL,0130190005_01,Y,11-27-2007,1,13,19,31.000000,31.000000,349710.000,6423030.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,20,ABS,08-07-2002,BYTE
5,0130190006,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.3688990,-65.5278870,386.536,CONTROL,0130190006_01,Y,11-27-2007,1,13,19,31.000000,31.000000,352140.000,6472560.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,20,ABS,08-07-2002,BYTE
6,0130190007,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.3142460,-65.6077620,-10.096,VALIDATION,0130190007_01,Y,11-27-2007,1,13,19,31.000000,31.000000,351570.000,6577950.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,20,ABS,08-07-2002,BYTE
7,0130190008,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.1009450,-65.5007420,375.000,CONTROL,0130190008_01,Y,11-27-2007,1,13,19,31.000000,31.000000,352620.000,6442680.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,20,ABS,08-07-2002,BYTE
8,0130190009,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.0033280,-64.7627860,602.004,VALIDATION,0130190009_01,Y,11-27-2007,1,13,19,31.000000,31.000000,395820.000,6430440.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,20,ABS,08-07-2002,BYTE
9,0130190010,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.1679870,-65.4493330,317.000,CONTROL,0130190010_01,Y,11-27-2007,1,13,19,31.000000,31.000000,355920.000,6450030.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,20,ABS,08-07-2002,BYTE
10,0130190011,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.1993880,-65.6757160,-8.487,CONTROL,0130190011_01,Y,11-27-2007,1,13,19,31.000000,31.000000,347190.000,6565320.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,20,ABS,08-07-2002,BYTE
11,0130190012,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.0191580,-65.7663240,365.376,CONTROL,0130190012_01,Y,11-27-2007,1,13,19,31.000000,31.000000,336600.000,6434190.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,20,ABS,08-07-2002,BYTE
12,0130190013,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.0005350,-65.6404770,394.210,CONTROL,0130190013_01,Y,11-27-2007,1,13,19,31.000000,31.000000,343950.000,6431820.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,20,ABS,08-07-2002,BYTE
13,0130190014,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.0774500,-65.1164680,447.446,VALIDATION,0130190014_01,Y,11-27-2007,1,13,19,31.000000,31.000000,375180.000,6439290.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,20,ABS,08-07-2002,BYTE
14,0130190015,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.7349550,-65.3278570,343.319,CONTROL,0130190015_01,Y,11-27-2007,1,13,19,31.000000,31.000000,365250.000,6512880.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,20,ABS,08-07-2002,BYTE
15,0130190016,Y,11-27-2007,ORIGINAL,1,13,19,GLS,57.9701200,-65.3054380,476.846,VALIDATION,0130190016_01,Y,11-27-2007,1,13,19,31.000000,31.000000,363630.000,6427710.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,16,UTM,20,ABS,08-07-2002,BYTE
16,0130190017,Y,11-27-2007,ORIGINAL,1,13,19,GLS,57.9626080,-65.1969260,497.934,VALIDATION,0130190017_01,Y,11-27-2007,1,13,19,31.000000,31.000000,370020.000,6426660.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,17,UTM,20,ABS,08-07-2002,BYTE
17,0130190018,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.0317560,-65.5946950,-11.000,VALIDATION,0130190018_01,Y,11-27-2007,1,13,19,31.000000,31.000000,351090.000,6546480.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,18,UTM,20,ABS,08-07-2002,BYTE
18,0130190019,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.3556630,-65.4741170,422.448,VALIDATION,0130190019_01,Y,11-27-2007,1,13,19,31.000000,31.000000,355230.000,6470970.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,19,UTM,20,ABS,08-07-2002,BYTE
19,0130190020,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.1133130,-65.3900610,441.984,VALIDATION,0130190020_01,Y,11-27-2007,1,13,19,31.000000,31.000000,359190.000,6443820.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,20,UTM,20,ABS,08-07-2002,BYTE
20,0130190021,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.1772300,-65.5852360,-7.135,CONTROL,0130190021_01,Y,11-27-2007,1,13,19,31.000000,31.000000,352260.000,6562650.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,21,UTM,20,ABS,08-07-2002,BYTE
21,0130190022,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.1585260,-65.2610090,497.358,CONTROL,0130190022_01,Y,11-27-2007,1,13,19,31.000000,31.000000,366960.000,6448590.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,22,UTM,20,ABS,08-07-2002,BYTE
22,0130190023,Y,11-27-2007,ORIGINAL,1,13,19,GLS,57.9300660,-65.6195880,348.106,VALIDATION,0130190023_01,Y,11-27-2007,1,13,19,31.000000,31.000000,344880.000,6423930.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,23,UTM,20,ABS,08-07-2002,BYTE
23,0130190024,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.1449120,-65.3432390,304.000,CONTROL,0130190024_01,Y,11-27-2007,1,13,19,31.000000,31.000000,362070.000,6447240.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,24,UTM,20,ABS,08-07-2002,BYTE
24,0130190025,Y,11-27-2007,ORIGINAL,1,13,19,GLS,57.9354020,-65.4466380,460.892,VALIDATION,0130190025_01,Y,11-27-2007,1,13,19,31.000000,31.000000,355140.000,6424140.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,25,UTM,20,ABS,08-07-2002,BYTE
25,0130190026,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.2059650,-65.4509260,412.226,VALIDATION,0130190026_01,Y,11-27-2007,1,13,19,31.000000,31.000000,355980.000,6454260.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,26,UTM,20,ABS,08-07-2002,BYTE
26,0130190027,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.9644370,-64.5460380,412.158,CONTROL,0130190027_01,Y,11-27-2007,1,13,19,31.000000,31.000000,411090.000,6537120.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,27,UTM,20,ABS,08-07-2002,BYTE
27,0130190028,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.6839910,-65.2990930,372.958,VALIDATION,0130190028_01,Y,11-27-2007,1,13,19,31.000000,31.000000,366720.000,6507150.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,28,UTM,20,ABS,08-07-2002,BYTE
28,0130190029,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.2832220,-65.3546600,-10.000,CONTROL,0130190029_01,Y,11-27-2007,1,13,19,31.000000,31.000000,365850.000,6573960.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,29,UTM,20,ABS,08-07-2002,BYTE
29,0130190030,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.1118950,-65.2742400,297.047,VALIDATION,0130190030_01,Y,11-27-2007,1,13,19,31.000000,31.000000,369780.000,6554730.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,30,UTM,20,ABS,08-07-2002,BYTE
30,0130190031,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.3790000,-66.0762410,-7.302,CONTROL,0130190031_01,Y,11-27-2007,1,13,19,31.000000,31.000000,320130.000,6475020.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,31,UTM,20,ABS,08-07-2002,BYTE
31,0130190032,Y,11-27-2007,ORIGINAL,1,13,19,GLS,57.9175330,-64.9530710,619.132,CONTROL,0130190032_01,Y,11-27-2007,1,13,19,31.000000,31.000000,384300.000,6421200.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,32,UTM,20,ABS,08-07-2002,BYTE
32,0130190033,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.0276020,-65.2550780,358.595,VALIDATION,0130190033_01,Y,11-27-2007,1,13,19,31.000000,31.000000,370560.000,6545310.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,33,UTM,20,ABS,08-07-2002,BYTE
33,0130190034,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.5850380,-65.7024610,322.411,VALIDATION,0130190034_01,Y,11-27-2007,1,13,19,31.000000,31.000000,342900.000,6497010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,34,UTM,20,ABS,08-07-2002,BYTE
34,0130190035,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.3081840,-65.6766930,191.000,CONTROL,0130190035_01,Y,11-27-2007,1,13,19,31.000000,31.000000,343170.000,6466140.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,35,UTM,20,ABS,08-07-2002,BYTE
35,0130190036,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.8257000,-65.2414260,380.321,CONTROL,0130190036_01,Y,11-27-2007,1,13,19,31.000000,31.000000,370590.000,6522810.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,36,UTM,20,ABS,08-07-2002,BYTE
36,0130190037,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.3872530,-65.8839220,276.216,VALIDATION,0130190037_01,Y,11-27-2007,1,13,19,31.000000,31.000000,331410.000,6475440.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,37,UTM,20,ABS,08-07-2002,BYTE
37,0130190038,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.7657070,-65.2194010,448.589,CONTROL,0130190038_01,Y,11-27-2007,1,13,19,31.000000,31.000000,371640.000,6516090.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,38,UTM,20,ABS,08-07-2002,BYTE
38,0130190039,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.2759650,-65.5674410,-6.728,CONTROL,0130190039_01,Y,11-27-2007,1,13,19,31.000000,31.000000,353700.000,6573600.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,39,UTM,20,ABS,08-07-2002,BYTE
39,0130190040,Y,11-27-2007,ORIGINAL,1,13,19,GLS,57.9008790,-65.0686100,501.353,VALIDATION,0130190040_01,Y,11-27-2007,1,13,19,31.000000,31.000000,377400.000,6419550.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,40,UTM,20,ABS,08-07-2002,BYTE
40,0130190041,Y,11-27-2007,ORIGINAL,1,13,19,GLS,58.2371090,-65.2220550,447.925,VALIDATION,0130190041_01,Y,11-27-2007,1,13,19,31.000000,31.000000,369540.000,6457260.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,41,UTM,20,ABS,08-07-2002,BYTE
41,0130190042,Y,11-27-2007,ORIGINAL,1,13,19,GLS,59.3283710,-65.1921810,252.954,CONTROL,0130190042_01,Y,11-27-2007,1,13,19,31.000000,31.000000,375270.000,6578670.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,42,UTM,20,ABS,08-07-2002,BYTE
