,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0190210001,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.9827620,-76.7029390,-12.535,VALIDATION,0190210001_01,Y,11-27-2007,1,19,21,31.000000,31.000000,393750.000,6205470.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,18,ABS,07-29-2001,BYTE
1,0190210002,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.4522760,-76.9153170,118.204,CONTROL,0190210002_01,Y,11-27-2007,1,19,21,31.000000,31.000000,378870.000,6146790.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,18,ABS,07-29-2001,BYTE
2,0190210003,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.0412550,-75.8969990,145.000,CONTROL,0190210003_01,Y,11-27-2007,1,19,21,31.000000,31.000000,442680.000,6099750.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,18,ABS,07-29-2001,BYTE
3,0190210004,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.1018900,-76.3883100,141.000,CONTROL,0190210004_01,Y,11-27-2007,1,19,21,31.000000,31.000000,411420.000,6107010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,18,ABS,07-29-2001,BYTE
4,0190210005,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.3869680,-77.0518850,99.628,CONTROL,0190210005_01,Y,11-27-2007,1,19,21,31.000000,31.000000,370020.000,6139770.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,18,ABS,07-29-2001,BYTE
5,0190210006,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.4512290,-76.7131710,142.000,VALIDATION,0190210006_01,Y,11-27-2007,1,19,21,31.000000,31.000000,391650.000,6146340.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,18,ABS,07-29-2001,BYTE
6,0190210007,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.3957820,-76.9917010,104.000,VALIDATION,0190210007_01,Y,11-27-2007,1,19,21,31.000000,31.000000,373860.000,6140640.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,18,ABS,07-29-2001,BYTE
7,0190210008,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.4425880,-76.6150940,154.397,CONTROL,0190210008_01,Y,11-27-2007,1,19,21,31.000000,31.000000,397830.000,6145230.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,18,ABS,07-29-2001,BYTE
8,0190210009,Y,11-27-2007,ORIGINAL,1,19,21,GLS,56.6152840,-75.6812470,157.000,CONTROL,0190210009_01,Y,11-27-2007,1,19,21,31.000000,31.000000,458190.000,6274770.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,18,ABS,07-29-2001,BYTE
9,0190210010,Y,11-27-2007,ORIGINAL,1,19,21,GLS,56.1779580,-75.9818010,-38.000,CONTROL,0190210010_01,Y,11-27-2007,1,19,21,31.000000,31.000000,439050.000,6226320.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,18,ABS,07-29-2001,BYTE
10,0190210011,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.3870630,-76.9301620,104.000,CONTROL,0190210011_01,Y,11-27-2007,1,19,21,31.000000,31.000000,377730.000,6139560.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,18,ABS,07-29-2001,BYTE
11,0190210012,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.2303860,-77.0310760,79.360,CONTROL,0190210012_01,Y,11-27-2007,1,19,21,31.000000,31.000000,370830.000,6122310.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,18,ABS,07-29-2001,BYTE
12,0190210013,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.5814170,-77.2195770,-3.678,CONTROL,0190210013_01,Y,11-27-2007,1,19,21,31.000000,31.000000,360090.000,6161730.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,18,ABS,07-29-2001,BYTE
13,0190210014,Y,11-27-2007,ORIGINAL,1,19,21,GLS,56.3110550,-76.4541710,229.052,CONTROL,0190210014_01,Y,11-27-2007,1,19,21,31.000000,31.000000,410040.000,6241650.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,18,ABS,07-29-2001,BYTE
14,0190210015,Y,11-27-2007,ORIGINAL,1,19,21,GLS,56.5881110,-76.2615720,164.000,VALIDATION,0190210015_01,Y,11-27-2007,1,19,21,31.000000,31.000000,422520.000,6272250.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,18,ABS,07-29-2001,BYTE
15,0190210016,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.0236660,-75.7896110,146.000,VALIDATION,0190210016_01,Y,11-27-2007,1,19,21,31.000000,31.000000,449520.000,6097710.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,16,UTM,18,ABS,07-29-2001,BYTE
16,0190210017,Y,11-27-2007,ORIGINAL,1,19,21,GLS,56.6546140,-76.3949440,280.848,VALIDATION,0190210017_01,Y,11-27-2007,1,19,21,31.000000,31.000000,414480.000,6279810.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,17,UTM,18,ABS,07-29-2001,BYTE
17,0190210018,Y,11-27-2007,ORIGINAL,1,19,21,GLS,56.1027080,-76.2278030,54.201,CONTROL,0190210018_01,Y,11-27-2007,1,19,21,31.000000,31.000000,423630.000,6218190.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,18,UTM,18,ABS,07-29-2001,BYTE
18,0190210019,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.4362760,-76.7599450,134.027,CONTROL,0190210019_01,Y,11-27-2007,1,19,21,31.000000,31.000000,388650.000,6144750.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,19,UTM,18,ABS,07-29-2001,BYTE
19,0190210020,Y,11-27-2007,ORIGINAL,1,19,21,GLS,55.3244610,-77.7249710,-41.000,VALIDATION,0190210020_01,Y,11-27-2007,1,19,21,31.000000,31.000000,327120.000,6134280.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,20,UTM,18,ABS,07-29-2001,BYTE
