,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0170170001,Y,11-27-2007,ORIGINAL,1,17,17,GLS,61.3498040,-71.6784080,-20.304,CONTROL,0170170001_01,Y,11-27-2007,1,17,17,31.000000,31.000000,356760.000,6804690.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,19,ABS,07-15-2001,BYTE
1,0170170002,Y,11-27-2007,ORIGINAL,1,17,17,GLS,60.9204800,-71.5265750,356.000,CONTROL,0170170002_01,Y,11-27-2007,1,17,17,31.000000,31.000000,363030.000,6756570.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,19,ABS,07-15-2001,BYTE
2,0170170003,Y,11-27-2007,ORIGINAL,1,17,17,GLS,60.9455170,-71.7479590,397.000,CONTROL,0170170003_01,Y,11-27-2007,1,17,17,31.000000,31.000000,351150.000,6759840.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,19,ABS,07-15-2001,BYTE
3,0170170004,Y,11-27-2007,ORIGINAL,1,17,17,GLS,60.9506890,-71.5250920,356.000,CONTROL,0170170004_01,Y,11-27-2007,1,17,17,31.000000,31.000000,363240.000,6759930.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,19,ABS,07-15-2001,BYTE
4,0170170005,Y,11-27-2007,ORIGINAL,1,17,17,GLS,60.9503430,-71.4857250,352.000,CONTROL,0170170005_01,Y,11-27-2007,1,17,17,31.000000,31.000000,365370.000,6759810.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,19,ABS,07-15-2001,BYTE
5,0170170006,Y,11-27-2007,ORIGINAL,1,17,17,GLS,61.1481210,-71.4271160,109.166,CONTROL,0170170006_01,Y,11-27-2007,1,17,17,31.000000,31.000000,369360.000,6781710.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,19,ABS,07-15-2001,BYTE
6,0170170007,Y,11-27-2007,ORIGINAL,1,17,17,GLS,60.9428840,-71.7842970,406.006,CONTROL,0170170007_01,Y,11-27-2007,1,17,17,31.000000,31.000000,349170.000,6759630.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,19,ABS,07-15-2001,BYTE
7,0170170008,Y,11-27-2007,ORIGINAL,1,17,17,GLS,60.9411900,-71.8650340,401.000,CONTROL,0170170008_01,Y,11-27-2007,1,17,17,31.000000,31.000000,344790.000,6759630.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,19,ABS,07-15-2001,BYTE
8,0170170009,Y,11-27-2007,ORIGINAL,1,17,17,GLS,60.8683430,-71.4754760,386.000,CONTROL,0170170009_01,Y,11-27-2007,1,17,17,31.000000,31.000000,365580.000,6750660.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,19,ABS,07-15-2001,BYTE
9,0170170010,Y,11-27-2007,ORIGINAL,1,17,17,GLS,61.2870780,-71.7559480,80.606,CONTROL,0170170010_01,Y,11-27-2007,1,17,17,31.000000,31.000000,352320.000,6797880.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,19,ABS,07-15-2001,BYTE
