,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0140180001,Y,11-27-2007,ORIGINAL,1,14,18,GLS,60.4930350,-64.8298030,-4.000,CONTROL,0140180001_01,Y,11-27-2007,1,14,18,31.000000,31.000000,729030.000,6713580.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,19,ABS,08-24-2000,BYTE
1,0140180002,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.1839310,-65.5035120,-3.308,CONTROL,0140180002_01,Y,11-27-2007,1,14,18,31.000000,31.000000,699750.000,6565770.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,19,ABS,08-24-2000,BYTE
2,0140180003,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.2010060,-65.6815480,31.992,VALIDATION,0140180003_01,Y,11-27-2007,1,14,18,31.000000,31.000000,689490.000,6567150.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,19,ABS,08-24-2000,BYTE
3,0140180004,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.3942280,-65.5125160,10.517,CONTROL,0140180004_01,Y,11-27-2007,1,14,18,31.000000,31.000000,698010.000,6589140.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,19,ABS,08-24-2000,BYTE
4,0140180005,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.7537610,-65.2238940,126.000,VALIDATION,0140180005_01,Y,11-27-2007,1,14,18,31.000000,31.000000,712110.000,6630030.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,19,ABS,08-24-2000,BYTE
5,0140180006,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.1995910,-65.1696500,429.413,CONTROL,0140180006_01,Y,11-27-2007,1,14,18,31.000000,31.000000,718710.000,6568560.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,19,ABS,08-24-2000,BYTE
6,0140180007,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.5408460,-64.9928420,519.238,CONTROL,0140180007_01,Y,11-27-2007,1,14,18,31.000000,31.000000,726510.000,6607110.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,19,ABS,08-24-2000,BYTE
7,0140180008,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.3052420,-65.5733150,-11.000,VALIDATION,0140180008_01,Y,11-27-2007,1,14,18,31.000000,31.000000,695070.000,6579060.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,19,ABS,08-24-2000,BYTE
8,0140180009,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.1642830,-65.0890400,520.857,VALIDATION,0140180009_01,Y,11-27-2007,1,14,18,31.000000,31.000000,723540.000,6564900.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,19,ABS,08-24-2000,BYTE
9,0140180010,Y,11-27-2007,ORIGINAL,1,14,18,GLS,60.4763320,-64.7199230,-4.000,VALIDATION,0140180010_01,Y,11-27-2007,1,14,18,31.000000,31.000000,735180.000,6712110.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,19,ABS,08-24-2000,BYTE
10,0140180011,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.4637440,-65.0560380,513.628,VALIDATION,0140180011_01,Y,11-27-2007,1,14,18,31.000000,31.000000,723450.000,6598320.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,19,ABS,08-24-2000,BYTE
11,0140180012,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.3852350,-65.1820080,380.031,VALIDATION,0140180012_01,Y,11-27-2007,1,14,18,31.000000,31.000000,716820.000,6589170.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,19,ABS,08-24-2000,BYTE
12,0140180013,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.5378500,-65.1169400,302.000,VALIDATION,0140180013_01,Y,11-27-2007,1,14,18,31.000000,31.000000,719520.000,6606360.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,19,ABS,08-24-2000,BYTE
13,0140180014,Y,11-27-2007,ORIGINAL,1,14,18,GLS,59.7881380,-65.0990880,30.273,CONTROL,0140180014_01,Y,11-27-2007,1,14,18,31.000000,31.000000,718890.000,6634260.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,19,ABS,08-24-2000,BYTE
