,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0130210001,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.4488110,-67.8556420,362.452,VALIDATION,0130210001_01,Y,11-27-2007,1,13,21,31.000000,31.000000,570540.000,6256620.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,19,ABS,09-21-2001,BYTE
1,0130210002,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.9525020,-68.5616880,132.062,CONTROL,0130210002_01,Y,11-27-2007,1,13,21,31.000000,31.000000,527370.000,6200880.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,19,ABS,09-21-2001,BYTE
2,0130210003,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.6890680,-68.1790580,133.602,CONTROL,0130210003_01,Y,11-27-2007,1,13,21,31.000000,31.000000,551610.000,6171780.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,19,ABS,09-21-2001,BYTE
3,0130210004,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.4437870,-67.8961840,416.836,VALIDATION,0130210004_01,Y,11-27-2007,1,13,21,31.000000,31.000000,568050.000,6256020.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,19,ABS,09-21-2001,BYTE
4,0130210005,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.9966110,-67.8113180,483.209,CONTROL,0130210005_01,Y,11-27-2007,1,13,21,31.000000,31.000000,574140.000,6206340.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,19,ABS,09-21-2001,BYTE
5,0130210006,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.8047930,-68.3762100,129.196,VALIDATION,0130210006_01,Y,11-27-2007,1,13,21,31.000000,31.000000,539100.000,6184530.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,19,ABS,09-21-2001,BYTE
6,0130210007,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.3926610,-68.6612050,304.787,VALIDATION,0130210007_01,Y,11-27-2007,1,13,21,31.000000,31.000000,521460.000,6138540.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,19,ABS,09-21-2001,BYTE
7,0130210008,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.7655970,-68.3055930,127.561,VALIDATION,0130210008_01,Y,11-27-2007,1,13,21,31.000000,31.000000,543570.000,6180210.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,19,ABS,09-21-2001,BYTE
8,0130210009,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.7608300,-68.2736460,130.981,VALIDATION,0130210009_01,Y,11-27-2007,1,13,21,31.000000,31.000000,545580.000,6179700.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,19,ABS,09-21-2001,BYTE
9,0130210010,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.3899080,-68.2636600,416.583,CONTROL,0130210010_01,Y,11-27-2007,1,13,21,31.000000,31.000000,545460.000,6249720.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,19,ABS,09-21-2001,BYTE
10,0130210011,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.4604780,-67.9560700,442.625,VALIDATION,0130210011_01,Y,11-27-2007,1,13,21,31.000000,31.000000,564330.000,6257820.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,19,ABS,09-21-2001,BYTE
11,0130210012,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.2973470,-67.6107000,674.680,CONTROL,0130210012_01,Y,11-27-2007,1,13,21,31.000000,31.000000,588210.000,6128760.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,19,ABS,09-21-2001,BYTE
12,0130210013,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.2073750,-67.5092880,346.703,CONTROL,0130210013_01,Y,11-27-2007,1,13,21,31.000000,31.000000,592470.000,6230160.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,19,ABS,09-21-2001,BYTE
13,0130210014,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.7978780,-68.3423450,131.172,CONTROL,0130210014_01,Y,11-27-2007,1,13,21,31.000000,31.000000,541230.000,6183780.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,19,ABS,09-21-2001,BYTE
14,0130210015,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.6662620,-68.1552120,130.258,VALIDATION,0130210015_01,Y,11-27-2007,1,13,21,31.000000,31.000000,553140.000,6169260.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,19,ABS,09-21-2001,BYTE
15,0130210016,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.4041690,-68.1345630,389.275,CONTROL,0130210016_01,Y,11-27-2007,1,13,21,31.000000,31.000000,553410.000,6251400.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,16,UTM,19,ABS,09-21-2001,BYTE
16,0130210017,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.8524660,-68.4233670,104.000,CONTROL,0130210017_01,Y,11-27-2007,1,13,21,31.000000,31.000000,536100.000,6189810.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,17,UTM,19,ABS,09-21-2001,BYTE
17,0130210018,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.5965400,-68.5989890,374.489,VALIDATION,0130210018_01,Y,11-27-2007,1,13,21,31.000000,31.000000,525270.000,6161250.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,18,UTM,19,ABS,09-21-2001,BYTE
18,0130210019,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.2308090,-66.7576870,364.506,VALIDATION,0130210019_01,Y,11-27-2007,1,13,21,31.000000,31.000000,639000.000,6234030.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,19,UTM,19,ABS,09-21-2001,BYTE
19,0130210020,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.4429980,-67.9935330,442.362,VALIDATION,0130210020_01,Y,11-27-2007,1,13,21,31.000000,31.000000,562050.000,6255840.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,20,UTM,19,ABS,09-21-2001,BYTE
20,0130210021,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.7383180,-68.2506520,128.805,VALIDATION,0130210021_01,Y,11-27-2007,1,13,21,31.000000,31.000000,547050.000,6177210.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,21,UTM,19,ABS,09-21-2001,BYTE
21,0130210022,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.5439290,-67.0173780,314.000,CONTROL,0130210022_01,Y,11-27-2007,1,13,21,31.000000,31.000000,621900.000,6268380.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,22,UTM,19,ABS,09-21-2001,BYTE
22,0130210023,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.7257050,-68.2165020,143.191,CONTROL,0130210023_01,Y,11-27-2007,1,13,21,31.000000,31.000000,549210.000,6175830.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,23,UTM,19,ABS,09-21-2001,BYTE
23,0130210024,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.1749950,-65.4469480,513.980,VALIDATION,0130210024_01,Y,11-27-2007,1,13,21,31.000000,31.000000,720540.000,6231240.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,24,UTM,19,ABS,09-21-2001,BYTE
24,0130210025,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.4428750,-67.7979100,382.980,CONTROL,0130210025_01,Y,11-27-2007,1,13,21,31.000000,31.000000,574110.000,6256020.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,25,UTM,19,ABS,09-21-2001,BYTE
25,0130210026,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.3318100,-66.9541420,361.000,CONTROL,0130210026_01,Y,11-27-2007,1,13,21,31.000000,31.000000,626490.000,6244890.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,26,UTM,19,ABS,09-21-2001,BYTE
26,0130210027,Y,11-27-2007,ORIGINAL,1,13,21,GLS,56.5533770,-68.2404800,242.833,VALIDATION,0130210027_01,Y,11-27-2007,1,13,21,31.000000,31.000000,546690.000,6267930.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,27,UTM,19,ABS,09-21-2001,BYTE
27,0130210028,Y,11-27-2007,ORIGINAL,1,13,21,GLS,55.5276040,-68.4162470,274.000,VALIDATION,0130210028_01,Y,11-27-2007,1,13,21,31.000000,31.000000,536850.000,6153660.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,28,UTM,19,ABS,09-21-2001,BYTE
