,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0190190001,Y,11-27-2007,ORIGINAL,1,19,19,GLS,58.6217190,-76.2147200,106.063,CONTROL,0190190001_01,Y,11-27-2007,1,19,19,31.000000,31.000000,429450.000,6498570.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,18,ABS,07-29-2001,BYTE
1,0190190002,Y,11-27-2007,ORIGINAL,1,19,19,GLS,58.5233460,-76.3514330,97.000,VALIDATION,0190190002_01,Y,11-27-2007,1,19,19,31.000000,31.000000,421290.000,6487770.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,18,ABS,07-29-2001,BYTE
2,0190190003,Y,11-27-2007,ORIGINAL,1,19,19,GLS,59.3246440,-75.7615560,53.000,CONTROL,0190190003_01,Y,11-27-2007,1,19,19,31.000000,31.000000,456660.000,6576450.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,18,ABS,07-29-2001,BYTE
3,0190190004,Y,11-27-2007,ORIGINAL,1,19,19,GLS,59.4040530,-75.7263500,67.000,VALIDATION,0190190004_01,Y,11-27-2007,1,19,19,31.000000,31.000000,458760.000,6585270.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,18,ABS,07-29-2001,BYTE
4,0190190005,Y,11-27-2007,ORIGINAL,1,19,19,GLS,59.3194580,-75.8990110,48.187,CONTROL,0190190005_01,Y,11-27-2007,1,19,19,31.000000,31.000000,448830.000,6575970.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,18,ABS,07-29-2001,BYTE
5,0190190006,Y,11-27-2007,ORIGINAL,1,19,19,GLS,58.0955200,-75.1092420,129.000,CONTROL,0190190006_01,Y,11-27-2007,1,19,19,31.000000,31.000000,493560.000,6439350.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,18,ABS,07-29-2001,BYTE
6,0190190007,Y,11-27-2007,ORIGINAL,1,19,19,GLS,58.5246380,-76.3046040,102.000,CONTROL,0190190007_01,Y,11-27-2007,1,19,19,31.000000,31.000000,424020.000,6487860.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,18,ABS,07-29-2001,BYTE
7,0190190008,Y,11-27-2007,ORIGINAL,1,19,19,GLS,58.5698700,-75.2231500,122.000,VALIDATION,0190190008_01,Y,11-27-2007,1,19,19,31.000000,31.000000,487020.000,6492180.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,18,ABS,07-29-2001,BYTE
8,0190190009,Y,11-27-2007,ORIGINAL,1,19,19,GLS,59.3997050,-75.4309250,76.000,VALIDATION,0190190009_01,Y,11-27-2007,1,19,19,31.000000,31.000000,475530.000,6584640.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,18,ABS,07-29-2001,BYTE
9,0190190010,Y,11-27-2007,ORIGINAL,1,19,19,GLS,58.5684400,-74.9580540,133.000,CONTROL,0190190010_01,Y,11-27-2007,1,19,19,31.000000,31.000000,502440.000,6492000.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,18,ABS,07-29-2001,BYTE
10,0190190011,Y,11-27-2007,ORIGINAL,1,19,19,GLS,58.5914890,-76.3287700,101.625,CONTROL,0190190011_01,Y,11-27-2007,1,19,19,31.000000,31.000000,422760.000,6495330.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,18,ABS,07-29-2001,BYTE
11,0190190012,Y,11-27-2007,ORIGINAL,1,19,19,GLS,59.2601950,-76.0079470,61.469,CONTROL,0190190012_01,Y,11-27-2007,1,19,19,31.000000,31.000000,442530.000,6569460.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,18,ABS,07-29-2001,BYTE
12,0190190013,Y,11-27-2007,ORIGINAL,1,19,19,GLS,59.3165010,-76.0085590,44.000,VALIDATION,0190190013_01,Y,11-27-2007,1,19,19,31.000000,31.000000,442590.000,6575730.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,18,ABS,07-29-2001,BYTE
13,0190190014,Y,11-27-2007,ORIGINAL,1,19,19,GLS,59.3045070,-75.0203710,79.000,CONTROL,0190190014_01,Y,11-27-2007,1,19,19,31.000000,31.000000,498840.000,6573960.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,18,ABS,07-29-2001,BYTE
14,0190190015,Y,11-27-2007,ORIGINAL,1,19,19,GLS,58.1173870,-75.0390390,129.000,VALIDATION,0190190015_01,Y,11-27-2007,1,19,19,31.000000,31.000000,497700.000,6441780.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,18,ABS,07-29-2001,BYTE
