,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0150200001,Y,11-27-2007,ORIGINAL,1,15,20,GLS,56.6873930,-69.1580250,60.000,CONTROL,0150200001_01,Y,11-27-2007,1,15,20,31.000000,31.000000,490320.000,6282600.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,19,ABS,07-17-2001,BYTE
1,0150200002,Y,11-27-2007,ORIGINAL,1,15,20,GLS,58.1571170,-70.3517960,239.000,CONTROL,0150200002_01,Y,11-27-2007,1,15,20,31.000000,31.000000,420450.000,6447000.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,19,ABS,07-17-2001,BYTE
2,0150200003,Y,11-27-2007,ORIGINAL,1,15,20,GLS,57.3478890,-70.7392300,42.000,CONTROL,0150200003_01,Y,11-27-2007,1,15,20,31.000000,31.000000,395340.000,6357450.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,19,ABS,07-17-2001,BYTE
3,0150200004,Y,11-27-2007,ORIGINAL,1,15,20,GLS,57.8701170,-67.5751960,13.777,CONTROL,0150200004_01,Y,11-27-2007,1,15,20,31.000000,31.000000,584520.000,6415140.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,19,ABS,07-17-2001,BYTE
4,0150200005,Y,11-27-2007,ORIGINAL,1,15,20,GLS,56.8090620,-71.2601930,163.073,CONTROL,0150200005_01,Y,11-27-2007,1,15,20,31.000000,31.000000,362010.000,6298410.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,19,ABS,07-17-2001,BYTE
5,0150200006,Y,11-27-2007,ORIGINAL,1,15,20,GLS,56.9349350,-69.5741660,312.000,VALIDATION,0150200006_01,Y,11-27-2007,1,15,20,31.000000,31.000000,465060.000,6310290.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,19,ABS,07-17-2001,BYTE
6,0150200007,Y,11-27-2007,ORIGINAL,1,15,20,GLS,56.6706060,-69.2098440,61.494,VALIDATION,0150200007_01,Y,11-27-2007,1,15,20,31.000000,31.000000,487140.000,6280740.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,19,ABS,07-17-2001,BYTE
7,0150200008,Y,11-27-2007,ORIGINAL,1,15,20,GLS,57.8655270,-70.5845980,286.748,VALIDATION,0150200008_01,Y,11-27-2007,1,15,20,31.000000,31.000000,405990.000,6414840.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,19,ABS,07-17-2001,BYTE
8,0150200009,Y,11-27-2007,ORIGINAL,1,15,20,GLS,57.2271570,-70.5302870,243.245,CONTROL,0150200009_01,Y,11-27-2007,1,15,20,31.000000,31.000000,407610.000,6343710.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,19,ABS,07-17-2001,BYTE
9,0150200010,Y,11-27-2007,ORIGINAL,1,15,20,GLS,58.0283550,-70.5145750,268.000,CONTROL,0150200010_01,Y,11-27-2007,1,15,20,31.000000,31.000000,410550.000,6432870.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,19,ABS,07-17-2001,BYTE
