,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0110190001,Y,11-27-2007,ORIGINAL,1,11,19,GLS,58.1922020,-62.1155130,8.705,CONTROL,0110190001_01,Y,11-27-2007,1,11,19,31.000000,31.000000,552000.000,6450450.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,20,ABS,08-22-2001,BYTE
1,0110190002,Y,11-27-2007,ORIGINAL,1,11,19,GLS,57.9219160,-62.0406270,21.001,VALIDATION,0110190002_01,Y,11-27-2007,1,11,19,31.000000,31.000000,556830.000,6420420.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,20,ABS,08-22-2001,BYTE
2,0110190003,Y,11-27-2007,ORIGINAL,1,11,19,GLS,58.5495960,-62.6312750,13.472,VALIDATION,0110190003_01,Y,11-27-2007,1,11,19,31.000000,31.000000,521460.000,6489960.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,20,ABS,08-22-2001,BYTE
3,0110190004,Y,11-27-2007,ORIGINAL,1,11,19,GLS,58.9202380,-63.1483020,27.092,CONTROL,0110190004_01,Y,11-27-2007,1,11,19,31.000000,31.000000,491460.000,6531180.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,20,ABS,08-22-2001,BYTE
4,0110190005,Y,11-27-2007,ORIGINAL,1,11,19,GLS,57.9083610,-61.6724120,25.060,CONTROL,0110190005_01,Y,11-27-2007,1,11,19,31.000000,31.000000,578670.000,6419280.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,20,ABS,08-22-2001,BYTE
5,0110190006,Y,11-27-2007,ORIGINAL,1,11,19,GLS,58.1195150,-62.4065690,76.964,VALIDATION,0110190006_01,Y,11-27-2007,1,11,19,31.000000,31.000000,534960.000,6442170.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,20,ABS,08-22-2001,BYTE
6,0110190007,Y,11-27-2007,ORIGINAL,1,11,19,GLS,58.0294760,-62.2023340,8.690,VALIDATION,0110190007_01,Y,11-27-2007,1,11,19,31.000000,31.000000,547110.000,6432270.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,20,ABS,08-22-2001,BYTE
7,0110190008,Y,11-27-2007,ORIGINAL,1,11,19,GLS,58.5050100,-62.5890140,5.889,VALIDATION,0110190008_01,Y,11-27-2007,1,11,19,31.000000,31.000000,523950.000,6485010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,20,ABS,08-22-2001,BYTE
8,0110190009,Y,11-27-2007,ORIGINAL,1,11,19,GLS,58.1649720,-62.6867620,6.295,VALIDATION,0110190009_01,Y,11-27-2007,1,11,19,31.000000,31.000000,518430.000,6447120.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,20,ABS,08-22-2001,BYTE
9,0110190010,Y,11-27-2007,ORIGINAL,1,11,19,GLS,57.9767440,-62.1330010,7.069,CONTROL,0110190010_01,Y,11-27-2007,1,11,19,31.000000,31.000000,551280.000,6426450.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,20,ABS,08-22-2001,BYTE
