,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0150190001,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.1537740,-68.3585940,29.511,CONTROL,0150190001_01,Y,11-27-2007,1,15,19,31.000000,31.000000,537750.000,6446010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,19,ABS,07-17-2001,BYTE
1,0150190002,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.1571170,-70.3517960,239.000,VALIDATION,0150190002_01,Y,11-27-2007,1,15,19,31.000000,31.000000,420450.000,6447000.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,19,ABS,07-17-2001,BYTE
2,0150190003,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.8994950,-69.4007330,-23.000,CONTROL,0150190003_01,Y,11-27-2007,1,15,19,31.000000,31.000000,476910.000,6528930.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,19,ABS,07-17-2001,BYTE
3,0150190004,Y,11-27-2007,ORIGINAL,1,15,19,GLS,57.8701170,-67.5751960,13.777,CONTROL,0150190004_01,Y,11-27-2007,1,15,19,31.000000,31.000000,584520.000,6415140.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,19,ABS,07-17-2001,BYTE
4,0150190005,Y,11-27-2007,ORIGINAL,1,15,19,GLS,57.8116520,-67.5295320,14.481,CONTROL,0150190005_01,Y,11-27-2007,1,15,19,31.000000,31.000000,587370.000,6408690.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,19,ABS,07-17-2001,BYTE
5,0150190006,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.1225340,-70.3601630,246.000,VALIDATION,0150190006_01,Y,11-27-2007,1,15,19,31.000000,31.000000,419880.000,6443160.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,19,ABS,07-17-2001,BYTE
6,0150190007,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.6155270,-68.6037270,80.000,CONTROL,0150190007_01,Y,11-27-2007,1,15,19,31.000000,31.000000,523020.000,6497310.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,19,ABS,07-17-2001,BYTE
7,0150190008,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.2183200,-68.6852710,59.000,VALIDATION,0150190008_01,Y,11-27-2007,1,15,19,31.000000,31.000000,518490.000,6453060.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,19,ABS,07-17-2001,BYTE
8,0150190009,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.0826580,-69.9043300,182.806,VALIDATION,0150190009_01,Y,11-27-2007,1,15,19,31.000000,31.000000,446670.000,6438270.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,19,ABS,07-17-2001,BYTE
9,0150190010,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.4209810,-69.3002720,161.000,CONTROL,0150190010_01,Y,11-27-2007,1,15,19,31.000000,31.000000,482460.000,6475620.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,19,ABS,07-17-2001,BYTE
10,0150190011,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.4047760,-68.5121520,38.000,CONTROL,0150190011_01,Y,11-27-2007,1,15,19,31.000000,31.000000,528510.000,6473880.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,19,ABS,07-17-2001,BYTE
11,0150190012,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.4916650,-70.3141890,138.000,CONTROL,0150190012_01,Y,11-27-2007,1,15,19,31.000000,31.000000,423390.000,6484200.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,19,ABS,07-17-2001,BYTE
12,0150190013,Y,11-27-2007,ORIGINAL,1,15,19,GLS,58.2319640,-70.1676520,142.600,VALIDATION,0150190013_01,Y,11-27-2007,1,15,19,31.000000,31.000000,431430.000,6455130.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,19,ABS,07-17-2001,BYTE
