,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0180220001,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8695500,-76.3950840,131.000,VALIDATION,0180220001_01,Y,11-27-2007,1,18,22,31.000000,31.000000,408270.000,5969910.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,18,ABS,07-25-2002,BYTE
1,0180220002,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8587050,-76.3044020,131.397,VALIDATION,0180220002_01,Y,11-27-2007,1,18,22,31.000000,31.000000,414210.000,5968590.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,18,ABS,07-25-2002,BYTE
2,0180220003,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.9498580,-76.5943450,131.000,VALIDATION,0180220003_01,Y,11-27-2007,1,18,22,31.000000,31.000000,395370.000,5979120.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,18,ABS,07-25-2002,BYTE
3,0180220004,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.7437700,-75.7426740,213.000,VALIDATION,0180220004_01,Y,11-27-2007,1,18,22,31.000000,31.000000,451020.000,5955270.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,18,ABS,07-25-2002,BYTE
4,0180220005,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8922800,-76.5218450,131.000,CONTROL,0180220005_01,Y,11-27-2007,1,18,22,31.000000,31.000000,399990.000,5972610.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,18,ABS,07-25-2002,BYTE
5,0180220006,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.7755580,-75.3262440,213.000,VALIDATION,0180220006_01,Y,11-27-2007,1,18,22,31.000000,31.000000,478500.000,5958600.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,18,ABS,07-25-2002,BYTE
6,0180220007,Y,11-27-2007,ORIGINAL,1,18,22,GLS,54.0314520,-76.2378900,132.743,VALIDATION,0180220007_01,Y,11-27-2007,1,18,22,31.000000,31.000000,418920.000,5987730.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,18,ABS,07-25-2002,BYTE
7,0180220008,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8443660,-76.4494240,131.000,VALIDATION,0180220008_01,Y,11-27-2007,1,18,22,31.000000,31.000000,404640.000,5967180.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,18,ABS,07-25-2002,BYTE
8,0180220009,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.9127140,-75.4401220,213.000,CONTROL,0180220009_01,Y,11-27-2007,1,18,22,31.000000,31.000000,471090.000,5973900.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,18,ABS,07-25-2002,BYTE
9,0180220010,Y,11-27-2007,ORIGINAL,1,18,22,GLS,54.0751040,-76.7963210,131.000,VALIDATION,0180220010_01,Y,11-27-2007,1,18,22,31.000000,31.000000,382470.000,5993370.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,18,ABS,07-25-2002,BYTE
10,0180220011,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.9427870,-76.6585260,131.000,CONTROL,0180220011_01,Y,11-27-2007,1,18,22,31.000000,31.000000,391140.000,5978430.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,18,ABS,07-25-2002,BYTE
11,0180220012,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.6295450,-74.9059430,214.000,CONTROL,0180220012_01,Y,11-27-2007,1,18,22,31.000000,31.000000,506220.000,5942310.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,18,ABS,07-25-2002,BYTE
12,0180220013,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.5729360,-74.7375360,215.000,VALIDATION,0180220013_01,Y,11-27-2007,1,18,22,31.000000,31.000000,517380.000,5936040.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,18,ABS,07-25-2002,BYTE
13,0180220014,Y,11-27-2007,ORIGINAL,1,18,22,GLS,54.1928130,-76.4459550,131.624,CONTROL,0180220014_01,Y,11-27-2007,1,18,22,31.000000,31.000000,405660.000,6005940.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,18,ABS,07-25-2002,BYTE
14,0180220015,Y,11-27-2007,ORIGINAL,1,18,22,GLS,54.2245030,-76.3881580,132.000,CONTROL,0180220015_01,Y,11-27-2007,1,18,22,31.000000,31.000000,409500.000,6009390.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,18,ABS,07-25-2002,BYTE
15,0180220016,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.9154540,-74.3855230,215.000,VALIDATION,0180220016_01,Y,11-27-2007,1,18,22,31.000000,31.000000,540360.000,5974290.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,16,UTM,18,ABS,07-25-2002,BYTE
16,0180220017,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8613970,-76.2543050,132.127,CONTROL,0180220017_01,Y,11-27-2007,1,18,22,31.000000,31.000000,417510.000,5968830.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,17,UTM,18,ABS,07-25-2002,BYTE
17,0180220018,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8240410,-76.4797160,131.000,CONTROL,0180220018_01,Y,11-27-2007,1,18,22,31.000000,31.000000,402600.000,5964960.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,18,UTM,18,ABS,07-25-2002,BYTE
18,0180220019,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.6115520,-74.6534060,215.000,VALIDATION,0180220019_01,Y,11-27-2007,1,18,22,31.000000,31.000000,522930.000,5940360.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,19,UTM,18,ABS,07-25-2002,BYTE
19,0180220020,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.6957450,-74.7976570,214.000,VALIDATION,0180220020_01,Y,11-27-2007,1,18,22,31.000000,31.000000,513360.000,5949690.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,20,UTM,18,ABS,07-25-2002,BYTE
20,0180220021,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.7721460,-74.8605610,214.000,VALIDATION,0180220021_01,Y,11-27-2007,1,18,22,31.000000,31.000000,509190.000,5958180.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,21,UTM,18,ABS,07-25-2002,BYTE
21,0180220022,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.7137430,-75.7139620,213.000,VALIDATION,0180220022_01,Y,11-27-2007,1,18,22,31.000000,31.000000,452880.000,5951910.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,22,UTM,18,ABS,07-25-2002,BYTE
22,0180220023,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8346410,-74.6848450,215.000,CONTROL,0180220023_01,Y,11-27-2007,1,18,22,31.000000,31.000000,520740.000,5965170.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,23,UTM,18,ABS,07-25-2002,BYTE
23,0180220024,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8498050,-76.5326170,131.000,CONTROL,0180220024_01,Y,11-27-2007,1,18,22,31.000000,31.000000,399180.000,5967900.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,24,UTM,18,ABS,07-25-2002,BYTE
24,0180220025,Y,11-27-2007,ORIGINAL,1,18,22,GLS,54.0583320,-76.2198970,132.000,VALIDATION,0180220025_01,Y,11-27-2007,1,18,22,31.000000,31.000000,420150.000,5990700.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,25,UTM,18,ABS,07-25-2002,BYTE
25,0180220026,Y,11-27-2007,ORIGINAL,1,18,22,GLS,54.1312080,-76.3157040,132.000,VALIDATION,0180220026_01,Y,11-27-2007,1,18,22,31.000000,31.000000,414030.000,5998920.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,26,UTM,18,ABS,07-25-2002,BYTE
26,0180220027,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.9864330,-76.5815570,131.000,VALIDATION,0180220027_01,Y,11-27-2007,1,18,22,31.000000,31.000000,396300.000,5983170.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,27,UTM,18,ABS,07-25-2002,BYTE
27,0180220028,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.9093930,-74.5372310,215.000,VALIDATION,0180220028_01,Y,11-27-2007,1,18,22,31.000000,31.000000,530400.000,5973540.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,28,UTM,18,ABS,07-25-2002,BYTE
28,0180220029,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.6964290,-74.9207880,214.000,VALIDATION,0180220029_01,Y,11-27-2007,1,18,22,31.000000,31.000000,505230.000,5949750.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,29,UTM,18,ABS,07-25-2002,BYTE
29,0180220030,Y,11-27-2007,ORIGINAL,1,18,22,GLS,54.0881020,-76.3606660,133.897,CONTROL,0180220030_01,Y,11-27-2007,1,18,22,31.000000,31.000000,411000.000,5994180.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,30,UTM,18,ABS,07-25-2002,BYTE
30,0180220031,Y,11-27-2007,ORIGINAL,1,18,22,GLS,53.8632130,-74.5920270,215.000,VALIDATION,0180220031_01,Y,11-27-2007,1,18,22,31.000000,31.000000,526830.000,5968380.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,31,UTM,18,ABS,07-25-2002,BYTE
31,0180220032,Y,11-27-2007,ORIGINAL,1,18,22,GLS,54.2136180,-76.5718230,133.902,VALIDATION,0180220032_01,Y,11-27-2007,1,18,22,31.000000,31.000000,397500.000,6008430.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,32,UTM,18,ABS,07-25-2002,BYTE
