,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0110230001,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8032220,-65.0512030,449.000,CONTROL,0110230001_01,Y,11-27-2007,1,11,23,31.000000,31.000000,364920.000,5963580.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,20,ABS,06-22-2002,BYTE
1,0110230002,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8426550,-65.3007660,448.000,VALIDATION,0110230002_01,Y,11-27-2007,1,11,23,31.000000,31.000000,348630.000,5968470.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,20,ABS,06-22-2002,BYTE
2,0110230003,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.9485520,-65.5205780,448.000,VALIDATION,0110230003_01,Y,11-27-2007,1,11,23,31.000000,31.000000,334590.000,5980740.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,20,ABS,06-22-2002,BYTE
3,0110230004,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8073960,-65.0905930,449.000,VALIDATION,0110230004_01,Y,11-27-2007,1,11,23,31.000000,31.000000,362340.000,5964120.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,20,ABS,06-22-2002,BYTE
4,0110230005,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8292250,-65.1222260,449.000,VALIDATION,0110230005_01,Y,11-27-2007,1,11,23,31.000000,31.000000,360330.000,5966610.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,20,ABS,06-22-2002,BYTE
5,0110230006,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.6789020,-66.5035980,465.612,VALIDATION,0110230006_01,Y,11-27-2007,1,11,23,31.000000,31.000000,268620.000,5953500.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,20,ABS,06-22-2002,BYTE
6,0110230007,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7993750,-65.1325630,449.000,VALIDATION,0110230007_01,Y,11-27-2007,1,11,23,31.000000,31.000000,359550.000,5963310.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,20,ABS,06-22-2002,BYTE
7,0110230008,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8398620,-65.2344890,449.000,CONTROL,0110230008_01,Y,11-27-2007,1,11,23,31.000000,31.000000,352980.000,5968020.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,20,ABS,06-22-2002,BYTE
8,0110230009,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7593740,-65.3940700,457.000,VALIDATION,0110230009_01,Y,11-27-2007,1,11,23,31.000000,31.000000,342180.000,5959410.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,20,ABS,06-22-2002,BYTE
9,0110230010,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.5200340,-65.1583290,458.000,VALIDATION,0110230010_01,Y,11-27-2007,1,11,23,31.000000,31.000000,356910.000,5932290.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,20,ABS,06-22-2002,BYTE
10,0110230011,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8937390,-65.1191020,449.000,VALIDATION,0110230011_01,Y,11-27-2007,1,11,23,31.000000,31.000000,360750.000,5973780.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,20,ABS,06-22-2002,BYTE
11,0110230012,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8721630,-65.0883470,449.000,VALIDATION,0110230012_01,Y,11-27-2007,1,11,23,31.000000,31.000000,362700.000,5971320.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,20,ABS,06-22-2002,BYTE
12,0110230013,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.4495610,-64.9428520,458.000,VALIDATION,0110230013_01,Y,11-27-2007,1,11,23,31.000000,31.000000,370980.000,5924040.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,20,ABS,06-22-2002,BYTE
13,0110230014,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8238220,-64.7741570,440.000,CONTROL,0110230014_01,Y,11-27-2007,1,11,23,31.000000,31.000000,383220.000,5965380.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,20,ABS,06-22-2002,BYTE
14,0110230015,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7224290,-66.3880370,465.000,VALIDATION,0110230015_01,Y,11-27-2007,1,11,23,31.000000,31.000000,276480.000,5957970.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,20,ABS,06-22-2002,BYTE
15,0110230016,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8550620,-65.1705200,449.000,VALIDATION,0110230016_01,Y,11-27-2007,1,11,23,31.000000,31.000000,357240.000,5969580.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,16,UTM,20,ABS,06-22-2002,BYTE
16,0110230017,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.4316450,-64.9664220,459.947,VALIDATION,0110230017_01,Y,11-27-2007,1,11,23,31.000000,31.000000,369360.000,5922090.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,17,UTM,20,ABS,06-22-2002,BYTE
17,0110230018,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7229240,-65.2282820,458.000,VALIDATION,0110230018_01,Y,11-27-2007,1,11,23,31.000000,31.000000,352980.000,5955000.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,18,UTM,20,ABS,06-22-2002,BYTE
18,0110230019,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.9468500,-65.4464050,449.440,CONTROL,0110230019_01,Y,11-27-2007,1,11,23,31.000000,31.000000,339450.000,5980380.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,19,UTM,20,ABS,06-22-2002,BYTE
19,0110230020,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8259820,-65.0450210,449.000,VALIDATION,0110230020_01,Y,11-27-2007,1,11,23,31.000000,31.000000,365400.000,5966100.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,20,UTM,20,ABS,06-22-2002,BYTE
20,0110230021,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.5421560,-65.5547740,457.000,CONTROL,0110230021_01,Y,11-27-2007,1,11,23,31.000000,31.000000,330720.000,5935620.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,21,UTM,20,ABS,06-22-2002,BYTE
21,0110230022,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.4247000,-65.0740220,458.000,CONTROL,0110230022_01,Y,11-27-2007,1,11,23,31.000000,31.000000,362190.000,5921520.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,22,UTM,20,ABS,06-22-2002,BYTE
22,0110230023,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.4473580,-64.7905030,460.036,VALIDATION,0110230023_01,Y,11-27-2007,1,11,23,31.000000,31.000000,381090.000,5923530.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,23,UTM,20,ABS,06-22-2002,BYTE
23,0110230024,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.4465330,-64.8446800,458.000,VALIDATION,0110230024_01,Y,11-27-2007,1,11,23,31.000000,31.000000,377490.000,5923530.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,24,UTM,20,ABS,06-22-2002,BYTE
24,0110230025,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.2368870,-64.7241630,459.468,CONTROL,0110230025_01,Y,11-27-2007,1,11,23,31.000000,31.000000,384930.000,5900010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,25,UTM,20,ABS,06-22-2002,BYTE
25,0110230026,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8702090,-65.3264660,448.000,VALIDATION,0110230026_01,Y,11-27-2007,1,11,23,31.000000,31.000000,347040.000,5971590.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,26,UTM,20,ABS,06-22-2002,BYTE
26,0110230027,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.5431320,-65.2079570,458.000,CONTROL,0110230027_01,Y,11-27-2007,1,11,23,31.000000,31.000000,353700.000,5934960.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,27,UTM,20,ABS,06-22-2002,BYTE
27,0110230028,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.9319290,-65.2581450,448.000,CONTROL,0110230028_01,Y,11-27-2007,1,11,23,31.000000,31.000000,351750.000,5978310.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,28,UTM,20,ABS,06-22-2002,BYTE
28,0110230029,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.5030730,-65.3565240,457.224,VALIDATION,0110230029_01,Y,11-27-2007,1,11,23,31.000000,31.000000,343710.000,5930820.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,29,UTM,20,ABS,06-22-2002,BYTE
29,0110230030,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8575760,-65.3928310,450.687,VALIDATION,0110230030_01,Y,11-27-2007,1,11,23,31.000000,31.000000,342630.000,5970330.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,30,UTM,20,ABS,06-22-2002,BYTE
30,0110230031,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.6497840,-65.3020520,457.399,VALIDATION,0110230031_01,Y,11-27-2007,1,11,23,31.000000,31.000000,347850.000,5947020.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,31,UTM,20,ABS,06-22-2002,BYTE
31,0110230032,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7426560,-64.6606420,437.186,VALIDATION,0110230032_01,Y,11-27-2007,1,11,23,31.000000,31.000000,390480.000,5956170.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,32,UTM,20,ABS,06-22-2002,BYTE
32,0110230033,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8444100,-65.3355250,448.000,CONTROL,0110230033_01,Y,11-27-2007,1,11,23,31.000000,31.000000,346350.000,5968740.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,33,UTM,20,ABS,06-22-2002,BYTE
33,0110230034,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.5032980,-65.1289780,458.741,CONTROL,0110230034_01,Y,11-27-2007,1,11,23,31.000000,31.000000,358800.000,5930370.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,34,UTM,20,ABS,06-22-2002,BYTE
34,0110230035,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.9393730,-65.3618560,448.000,VALIDATION,0110230035_01,Y,11-27-2007,1,11,23,31.000000,31.000000,344970.000,5979360.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,35,UTM,20,ABS,06-22-2002,BYTE
35,0110230036,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.4788270,-65.0319010,460.035,VALIDATION,0110230036_01,Y,11-27-2007,1,11,23,31.000000,31.000000,365160.000,5927460.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,36,UTM,20,ABS,06-22-2002,BYTE
36,0110230037,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8534110,-65.0965360,449.000,VALIDATION,0110230037_01,Y,11-27-2007,1,11,23,31.000000,31.000000,362100.000,5969250.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,37,UTM,20,ABS,06-22-2002,BYTE
37,0110230038,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7289010,-65.2690780,458.502,CONTROL,0110230038_01,Y,11-27-2007,1,11,23,31.000000,31.000000,350310.000,5955750.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,38,UTM,20,ABS,06-22-2002,BYTE
38,0110230039,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7940360,-66.4967940,465.558,CONTROL,0110230039_01,Y,11-27-2007,1,11,23,31.000000,31.000000,269700.000,5966280.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,39,UTM,20,ABS,06-22-2002,BYTE
39,0110230040,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.4966020,-65.3150020,457.998,VALIDATION,0110230040_01,Y,11-27-2007,1,11,23,31.000000,31.000000,346440.000,5930010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,40,UTM,20,ABS,06-22-2002,BYTE
40,0110230041,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.6821370,-65.2170410,458.494,VALIDATION,0110230041_01,Y,11-27-2007,1,11,23,31.000000,31.000000,353580.000,5950440.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,41,UTM,20,ABS,06-22-2002,BYTE
41,0110230042,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7513430,-66.4804970,465.398,CONTROL,0110230042_01,Y,11-27-2007,1,11,23,31.000000,31.000000,270540.000,5961480.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,42,UTM,20,ABS,06-22-2002,BYTE
42,0110230043,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.8331940,-65.2013050,449.000,VALIDATION,0110230043_01,Y,11-27-2007,1,11,23,31.000000,31.000000,355140.000,5967210.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,43,UTM,20,ABS,06-22-2002,BYTE
43,0110230044,Y,11-27-2007,ORIGINAL,1,11,23,GLS,53.7005960,-65.3930040,457.285,VALIDATION,0110230044_01,Y,11-27-2007,1,11,23,31.000000,31.000000,342030.000,5952870.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,44,UTM,20,ABS,06-22-2002,BYTE
