,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0130180001,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.0939820,-65.0054410,-5.000,CONTROL,0130180001_01,Y,11-27-2007,1,13,18,31.000000,31.000000,388470.000,6663570.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,20,ABS,08-07-2002,BYTE
1,0130180002,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.9916360,-65.1396320,-7.000,VALIDATION,0130180002_01,Y,11-27-2007,1,13,18,31.000000,31.000000,380640.000,6652410.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,20,ABS,08-07-2002,BYTE
2,0130180003,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.4834320,-64.6871120,-4.000,CONTROL,0130180003_01,Y,11-27-2007,1,13,18,31.000000,31.000000,407280.000,6706440.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,20,ABS,08-07-2002,BYTE
3,0130180004,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.4009550,-65.3422140,200.943,VALIDATION,0130180004_01,Y,11-27-2007,1,13,18,31.000000,31.000000,367020.000,6587040.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,20,ABS,08-07-2002,BYTE
4,0130180005,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.2769800,-64.8544140,2.439,CONTROL,0130180005_01,Y,11-27-2007,1,13,18,31.000000,31.000000,397440.000,6683700.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,20,ABS,08-07-2002,BYTE
5,0130180006,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.0206810,-64.8001990,144.182,CONTROL,0130180006_01,Y,11-27-2007,1,13,18,31.000000,31.000000,399660.000,6655080.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,20,ABS,08-07-2002,BYTE
6,0130180007,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.7907850,-64.9369540,291.876,CONTROL,0130180007_01,Y,11-27-2007,1,13,18,31.000000,31.000000,391290.000,6629700.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,20,ABS,08-07-2002,BYTE
7,0130180008,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.4910830,-65.1799370,323.218,CONTROL,0130180008_01,Y,11-27-2007,1,13,18,31.000000,31.000000,376560.000,6596760.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,20,ABS,08-07-2002,BYTE
8,0130180009,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.7708650,-64.8225280,151.000,CONTROL,0130180009_01,Y,11-27-2007,1,13,18,31.000000,31.000000,397650.000,6627300.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,20,ABS,08-07-2002,BYTE
9,0130180010,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.3084940,-64.1305720,270.433,VALIDATION,0130180010_01,Y,11-27-2007,1,13,18,31.000000,31.000000,435630.000,6574950.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,20,ABS,08-07-2002,BYTE
10,0130180011,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.7767910,-64.4552090,35.061,CONTROL,0130180011_01,Y,11-27-2007,1,13,18,31.000000,31.000000,418290.000,6627450.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,20,ABS,08-07-2002,BYTE
11,0130180012,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.2724270,-64.7326480,17.304,VALIDATION,0130180012_01,Y,11-27-2007,1,13,18,31.000000,31.000000,404160.000,6683010.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,20,ABS,08-07-2002,BYTE
12,0130180013,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.0101970,-64.9503140,132.438,VALIDATION,0130180013_01,Y,11-27-2007,1,13,18,31.000000,31.000000,391260.000,6654150.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,20,ABS,08-07-2002,BYTE
13,0130180014,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.8159530,-64.8736760,215.306,CONTROL,0130180014_01,Y,11-27-2007,1,13,18,31.000000,31.000000,394920.000,6632400.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,20,ABS,08-07-2002,BYTE
14,0130180015,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.1294300,-64.9411630,19.427,VALIDATION,0130180015_01,Y,11-27-2007,1,13,18,31.000000,31.000000,392160.000,6667410.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,20,ABS,08-07-2002,BYTE
15,0130180016,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.2288710,-64.8457360,14.879,CONTROL,0130180016_01,Y,11-27-2007,1,13,18,31.000000,31.000000,397770.000,6678330.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,16,UTM,20,ABS,08-07-2002,BYTE
16,0130180017,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.3851350,-65.1821100,378.934,VALIDATION,0130180017_01,Y,11-27-2007,1,13,18,31.000000,31.000000,376050.000,6584970.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,17,UTM,20,ABS,08-07-2002,BYTE
17,0130180018,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.8429610,-64.8693040,237.881,VALIDATION,0130180018_01,Y,11-27-2007,1,13,18,31.000000,31.000000,395250.000,6635400.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,18,UTM,20,ABS,08-07-2002,BYTE
18,0130180019,Y,11-27-2007,ORIGINAL,1,13,18,GLS,59.3942830,-65.5124430,12.019,CONTROL,0130180019_01,Y,11-27-2007,1,13,18,31.000000,31.000000,357330.000,6586650.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,19,UTM,20,ABS,08-07-2002,BYTE
19,0130180020,Y,11-27-2007,ORIGINAL,1,13,18,GLS,60.4931320,-64.8301550,-4.000,CONTROL,0130180020_01,Y,11-27-2007,1,13,18,31.000000,31.000000,399450.000,6707730.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,20,UTM,20,ABS,08-07-2002,BYTE
