,Unique Ground Control Point (GCP) ID,GCP Active Flag,GCP date updated,GCP update reason,GCP version number,GCP WRS-2 path,GCP WRS-2 row,GCP source,GCP latitude of reference point in degrees,GCP longitude of reference point in degrees,GCP elevation of reference point in meters,GCP type -string (CONTROL or VALIDATION),Image chip ID,Image chip Active Flag,Image chip date updated,Image chip version number,Image chip source WRS-2 path,Image chip source WRS-2 row,Image chip reference line,Image chip reference sample,Image chip reference point projection X in meters,Image chip reference point projection Y in meters,Image chip pixel size x value in meters,Image chip pixel size y value in meters,Image chip size in lines,Image chip size in samples,Image chip sensor,Image chip selection method,"Image chip Moravec rank if selection method is MORAVEC, zero otherwise",Image chip projection,Image chip projection UTM zone,Image chip type,Image chip acquisition date,Image chip data type
0,0170200001,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.8145550,-73.0991340,146.503,VALIDATION,0170200001_01,Y,11-27-2007,1,17,20,31.000000,31.000000,612930.000,6409650.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,1,UTM,18,ABS,07-15-2001,BYTE
1,0170200002,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.2212580,-73.8517060,256.000,VALIDATION,0170200002_01,Y,11-27-2007,1,17,20,31.000000,31.000000,569340.000,6342600.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,2,UTM,18,ABS,07-15-2001,BYTE
2,0170200003,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.8271850,-73.1328240,146.000,CONTROL,0170200003_01,Y,11-27-2007,1,17,20,31.000000,31.000000,610890.000,6411000.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,3,UTM,18,ABS,07-15-2001,BYTE
3,0170200004,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.0488560,-71.2420750,108.923,CONTROL,0170200004_01,Y,11-27-2007,1,17,20,31.000000,31.000000,727920.000,6329100.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,4,UTM,18,ABS,07-15-2001,BYTE
4,0170200005,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.1214110,-73.9940320,244.000,CONTROL,0170200005_01,Y,11-27-2007,1,17,20,31.000000,31.000000,560910.000,6331350.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,5,UTM,18,ABS,07-15-2001,BYTE
5,0170200006,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.2945950,-73.7971500,257.000,VALIDATION,0170200006_01,Y,11-27-2007,1,17,20,31.000000,31.000000,572490.000,6350820.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,6,UTM,18,ABS,07-15-2001,BYTE
6,0170200007,Y,11-27-2007,ORIGINAL,1,17,20,GLS,56.8090470,-71.2597450,162.000,CONTROL,0170200007_01,Y,11-27-2007,1,17,20,31.000000,31.000000,728310.000,6302370.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,7,UTM,18,ABS,07-15-2001,BYTE
7,0170200008,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.7895050,-71.9202590,296.308,VALIDATION,0170200008_01,Y,11-27-2007,1,17,20,31.000000,31.000000,683070.000,6409440.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,8,UTM,18,ABS,07-15-2001,BYTE
8,0170200009,Y,11-27-2007,ORIGINAL,1,17,20,GLS,58.0041320,-72.0567430,296.000,CONTROL,0170200009_01,Y,11-27-2007,1,17,20,31.000000,31.000000,673920.000,6432960.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,9,UTM,18,ABS,07-15-2001,BYTE
9,0170200010,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.7372390,-71.3443440,277.000,CONTROL,0170200010_01,Y,11-27-2007,1,17,20,31.000000,31.000000,717600.000,6405330.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,10,UTM,18,ABS,07-15-2001,BYTE
10,0170200011,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.1829830,-71.8090490,100.000,CONTROL,0170200011_01,Y,11-27-2007,1,17,20,31.000000,31.000000,692850.000,6342270.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,11,UTM,18,ABS,07-15-2001,BYTE
11,0170200012,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.2423980,-73.7784690,276.000,VALIDATION,0170200012_01,Y,11-27-2007,1,17,20,31.000000,31.000000,573720.000,6345030.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,12,UTM,18,ABS,07-15-2001,BYTE
12,0170200013,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.4134240,-72.9746090,296.000,CONTROL,0170200013_01,Y,11-27-2007,1,17,20,31.000000,31.000000,621660.000,6365220.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,13,UTM,18,ABS,07-15-2001,BYTE
13,0170200014,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.8250840,-72.4276180,283.014,VALIDATION,0170200014_01,Y,11-27-2007,1,17,20,31.000000,31.000000,652770.000,6412140.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,14,UTM,18,ABS,07-15-2001,BYTE
14,0170200015,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.9919110,-73.5734070,203.026,CONTROL,0170200015_01,Y,11-27-2007,1,17,20,31.000000,31.000000,584340.000,6428700.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,15,UTM,18,ABS,07-15-2001,BYTE
15,0170200016,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.7224120,-71.6769990,281.000,CONTROL,0170200016_01,Y,11-27-2007,1,17,20,31.000000,31.000000,697890.000,6402660.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,16,UTM,18,ABS,07-15-2001,BYTE
16,0170200017,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.3082070,-73.8699140,213.152,CONTROL,0170200017_01,Y,11-27-2007,1,17,20,31.000000,31.000000,568080.000,6352260.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,17,UTM,18,ABS,07-15-2001,BYTE
17,0170200018,Y,11-27-2007,ORIGINAL,1,17,20,GLS,56.7879740,-73.8350210,226.350,CONTROL,0170200018_01,Y,11-27-2007,1,17,20,31.000000,31.000000,571170.000,6294390.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,18,UTM,18,ABS,07-15-2001,BYTE
18,0170200019,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.1472800,-73.7002850,296.000,VALIDATION,0170200019_01,Y,11-27-2007,1,17,20,31.000000,31.000000,578640.000,6334530.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,19,UTM,18,ABS,07-15-2001,BYTE
19,0170200020,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.9618500,-73.0543240,132.000,CONTROL,0170200020_01,Y,11-27-2007,1,17,20,31.000000,31.000000,615120.000,6426120.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,20,UTM,18,ABS,07-15-2001,BYTE
20,0170200021,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.8955780,-72.2787930,275.858,CONTROL,0170200021_01,Y,11-27-2007,1,17,20,31.000000,31.000000,661290.000,6420330.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,21,UTM,18,ABS,07-15-2001,BYTE
21,0170200022,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.5607110,-71.7956180,302.000,VALIDATION,0170200022_01,Y,11-27-2007,1,17,20,31.000000,31.000000,691680.000,6384330.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,22,UTM,18,ABS,07-15-2001,BYTE
22,0170200023,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.7271500,-71.5616320,278.000,CONTROL,0170200023_01,Y,11-27-2007,1,17,20,31.000000,31.000000,704730.000,6403530.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,23,UTM,18,ABS,07-15-2001,BYTE
23,0170200024,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.4639280,-72.2043980,299.000,VALIDATION,0170200024_01,Y,11-27-2007,1,17,20,31.000000,31.000000,667680.000,6372480.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,24,UTM,18,ABS,07-15-2001,BYTE
24,0170200025,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.9819710,-73.0836770,132.000,VALIDATION,0170200025_01,Y,11-27-2007,1,17,20,31.000000,31.000000,613320.000,6428310.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,25,UTM,18,ABS,07-15-2001,BYTE
25,0170200026,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.7322700,-72.0531650,296.276,VALIDATION,0170200026_01,Y,11-27-2007,1,17,20,31.000000,31.000000,675450.000,6402720.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,26,UTM,18,ABS,07-15-2001,BYTE
26,0170200027,Y,11-27-2007,ORIGINAL,1,17,20,GLS,57.2179870,-72.8924140,294.000,CONTROL,0170200027_01,Y,11-27-2007,1,17,20,31.000000,31.000000,627270.000,6343620.000,30.000000,30.000000,64.000000,64.000000,ETM+,MORAVEC,27,UTM,18,ABS,07-15-2001,BYTE
